time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-17T07:08:57.608Z,43.3697,-127.099,10,2.7,ml,,267,2.084,0.91,us,us70004m35,2019-10-04T16:37:07.040Z,"220km W of Bandon, Oregon",earthquake,4.6,2,0.043,72,reviewed,us,us
2019-07-15T08:54:05.490Z,44.062,-128.8645,10,2.8,ml,,244,3.493,0.56,us,us70004kgh,2019-09-28T20:01:25.040Z,"Off the coast of Oregon",earthquake,11.7,2,0.046,62,reviewed,us,us
2019-07-03T22:42:34.366Z,44.5242,-128.9042,10,3.7,mb,,203,3.579,0.91,us,us700049ns,2019-09-26T14:30:07.040Z,"Off the coast of Oregon",earthquake,9.7,2,0.178,8,reviewed,us,us
2019-07-03T22:32:31.614Z,44.4836,-128.935,10,4.1,mb,,212,3.593,0.75,us,us700049nv,2019-09-26T14:30:07.040Z,"Off the coast of Oregon",earthquake,9.5,2,0.165,10,reviewed,us,us
2019-07-03T15:15:20.055Z,44.397,-129.0801,10,4.1,mb,,220,3.682,0.76,us,us700049b3,2019-09-26T14:30:06.040Z,"Off the coast of Oregon",earthquake,10.9,2,0.123,18,reviewed,us,us
2019-07-03T13:26:39.172Z,44.4341,-128.9679,10,3.8,mb,,203,3.608,0.78,us,us70004997,2019-09-26T14:30:06.040Z,"Off the coast of Oregon",earthquake,10.3,2,0.117,19,reviewed,us,us
2019-06-29T11:45:10.406Z,44.3972,-129.5483,10,3.1,ml,,213,4.015,0.71,us,us7000479l,2019-09-14T16:08:19.040Z,"Off the coast of Oregon",earthquake,11.1,2,0.053,46,reviewed,us,us
2019-06-26T00:29:51.305Z,43.3699,-127.1632,10,4.1,mb,,184,2.13,1.11,us,us7000450i,2019-09-14T16:08:08.040Z,"225km W of Bandon, Oregon",earthquake,8.2,2,0.073,51,reviewed,us,us
2019-06-25T09:54:49.285Z,43.8708,-127.762,10,2.9,ml,,215,2.69,0.86,us,us600045nl,2019-09-14T16:08:06.040Z,"283km WNW of Bandon, Oregon",earthquake,10.1,2,0.04,84,reviewed,us,us
2019-06-23T02:12:27.430Z,43.9451,-128.238,10,3.1,ml,,270,3.036,0.76,us,us600044r5,2019-09-11T15:19:34.040Z,"Off the coast of Oregon",earthquake,12.4,2,0.05,52,reviewed,us,us
