time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-13T23:14:54.210Z,50.5387,-130.3124,10,4,mb,,167,1.392,1.16,us,us2000jhmy,2019-05-01T22:00:40.040Z,"205km W of Port Hardy, Canada",earthquake,5,1.8,0.196,7,reviewed,us,us
2019-02-13T22:53:54.920Z,50.5088,-130.353,10,4.1,mb,,170,1.421,0.98,us,us2000jhmf,2019-05-01T22:00:40.040Z,"208km W of Port Hardy, Canada",earthquake,4.5,2,0.084,39,reviewed,us,us
2019-02-11T00:02:01.050Z,50.7226,-130.0961,10,4.1,mwr,,162,1.251,0.86,us,us2000jg5i,2019-04-25T15:32:06.040Z,"189km W of Port Hardy, Canada",earthquake,5.5,1.9,0.075,17,reviewed,us,us
2019-01-18T01:34:44.870Z,49.5587,-129.7563,10,4.1,mb,,174,1.504,0.96,us,us2000jbxj,2019-04-05T21:41:03.040Z,"209km SW of Port Hardy, Canada",earthquake,9.2,2,0.197,7,reviewed,us,us
2019-01-17T03:23:44.360Z,50.7626,-129.6421,10,4.9,mwr,,201,0.967,0.82,us,us2000j4vi,2019-04-05T21:40:59.040Z,"157km W of Port Hardy, Canada",earthquake,7.6,2,,,reviewed,us,pgc
2018-12-09T18:14:23.930Z,49.0242,-128.5416,10,4.6,mwr,,174,1.639,1.31,us,us1000i5dt,2019-02-16T19:52:34.040Z,"193km W of Tofino, Canada",earthquake,5.9,2,,,reviewed,us,pgc
2018-12-09T17:48:40.940Z,48.9734,-128.7003,10,4.6,mwr,,164,1.708,1.18,us,us1000i5di,2019-02-16T19:52:34.040Z,"205km W of Tofino, Canada",earthquake,7.9,2,,,reviewed,us,pgc
2018-12-09T16:20:13.320Z,49.0257,-128.8745,10,5.4,mww,,163,1.686,1.05,us,us1000i5cf,2019-02-16T19:52:34.040Z,"213km SSW of Port Hardy, Canada",earthquake,7.7,1.9,0.04,59,reviewed,us,us
2018-12-01T07:33:47.180Z,50.0974,-129.4077,10,4.7,mwr,,179,0.98,0.74,us,us1000hzc2,2019-02-09T19:02:16.040Z,"156km WSW of Port Hardy, Canada",earthquake,6.2,1.9,,,reviewed,us,pgc
2018-11-05T20:25:35.860Z,49.2407,-129.4142,10,4.3,mb,,165,1.627,1.24,us,us2000i755,2019-01-21T16:42:51.040Z,"216km SW of Port Hardy, Canada",earthquake,7.9,2,0.04,180,reviewed,us,us
2018-11-01T04:22:19.760Z,49.3356,-129.3083,10,4.9,mww,,84,1.51,0.83,us,us2000i53f,2019-01-21T14:29:42.040Z,"203km SW of Port Hardy, Canada",earthquake,7.2,1.9,0.039,63,reviewed,us,us
2018-10-23T23:07:38.680Z,49.1768,-129.5261,10,4,mb,,172,1.719,0.8,us,us1000hgbt,2019-01-10T17:18:34.040Z,"227km SW of Port Hardy, Canada",earthquake,7.9,2,0.098,28,reviewed,us,us
2018-10-22T16:27:00.900Z,49.0689,-128.9922,10,5.2,mww,,80,1.668,1.01,us,us1000hfn8,2019-01-10T17:18:33.040Z,"213km SSW of Port Hardy, Canada",earthquake,6.8,1.9,0.04,60,reviewed,us,us
2018-10-22T14:00:00.670Z,49.3069,-129.4995,10,4.6,mb,,163,1.6,0.79,us,us1000hflf,2019-01-10T17:18:33.040Z,"214km SW of Port Hardy, Canada",earthquake,7,1.9,0.035,237,reviewed,us,us
2018-10-22T13:42:19.090Z,49.2969,-129.209,10,4.3,mb,,165,1.513,0.89,us,us1000hflb,2019-01-10T17:18:33.040Z,"201km SW of Port Hardy, Canada",earthquake,8.5,2,0.049,116,reviewed,us,us
2018-10-22T13:25:02.790Z,49.3578,-129.5534,10,4.2,mb,,170,1.577,1.06,us,us1000hfl5,2019-01-10T17:18:33.040Z,"213km SW of Port Hardy, Canada",earthquake,8.9,2,0.044,146,reviewed,us,us
2018-10-22T08:43:21.450Z,49.3023,-129.39,10,4.4,mb,,156,1.566,1.05,us,us1000hfis,2019-01-10T17:18:33.040Z,"210km SW of Port Hardy, Canada",earthquake,5.4,1.9,0.033,263,reviewed,us,us
2018-10-22T07:13:08.340Z,49.1773,-128.8393,10,4.3,mb,,92,1.534,0.98,us,us1000hfhp,2019-01-10T17:18:33.040Z,"197km SSW of Port Hardy, Canada",earthquake,3.9,1.9,0.044,149,reviewed,us,us
2018-10-22T06:48:51.160Z,49.5838,-129.6508,10,4.1,mb,,175,1.439,0.99,us,us1000hh2q,2019-01-10T17:18:36.040Z,"202km SW of Port Hardy, Canada",earthquake,8.8,2,0.234,5,reviewed,us,us
2018-10-22T06:36:07.090Z,49.3296,-129.6659,10,4.9,mb,,85,1.643,0.93,us,us1000hfhb,2019-01-10T17:18:33.040Z,"221km SW of Port Hardy, Canada",earthquake,6.3,1.8,0.039,209,reviewed,us,us
2018-10-22T06:31:45.180Z,49.5072,-129.0661,10,4.5,mb,,170,1.283,0.95,us,us1000hh2v,2019-01-10T17:18:36.040Z,"177km SW of Port Hardy, Canada",earthquake,8.4,2,0.11,24,reviewed,us,us
2018-10-22T06:28:21.000Z,49.4363,-129.3854,10,4.4,mb,,167,1.45,0.98,us,us1000hh2n,2019-01-10T17:18:36.040Z,"198km SW of Port Hardy, Canada",earthquake,6.3,1.8,0.13,17,reviewed,us,us
